fips,NAME,variable,median_income,moe
12073,"Leon County, Florida",B06011_001,29023,780
12075,"Levy County, Florida",B06011_001,21609,969
12077,"Liberty County, Florida",B06011_001,23799,2158
12079,"Madison County, Florida",B06011_001,20576,2091
12081,"Manatee County, Florida",B06011_001,29953,786
12083,"Marion County, Florida",B06011_001,25344,519
12085,"Martin County, Florida",B06011_001,31854,1039
12086,"Miami-Dade County, Florida",B06011_001,25724,204
12087,"Monroe County, Florida",B06011_001,37618,1411
12089,"Nassau County, Florida",B06011_001,33028,1631
12091,"Okaloosa County, Florida",B06011_001,31430,586
12093,"Okeechobee County, Florida",B06011_001,24258,1426
12095,"Orange County, Florida",B06011_001,29380,447
12097,"Osceola County, Florida",B06011_001,25032,629
12099,"Palm Beach County, Florida",B06011_001,31481,327
12101,"Pasco County, Florida",B06011_001,27754,590
12103,"Pinellas County, Florida",B06011_001,31038,264
12105,"Polk County, Florida",B06011_001,26385,352
12107,"Putnam County, Florida",B06011_001,22898,1068
12109,"St. Johns County, Florida",B06011_001,37043,1156
12111,"St. Lucie County, Florida",B06011_001,27164,571
12113,"Santa Rosa County, Florida",B06011_001,31833,989
12115,"Sarasota County, Florida",B06011_001,32535,575
12117,"Seminole County, Florida",B06011_001,34447,777
12119,"Sumter County, Florida",B06011_001,28416,1314
12121,"Suwannee County, Florida",B06011_001,23287,2112
12123,"Taylor County, Florida",B06011_001,23621,3602
12125,"Union County, Florida",B06011_001,26850,1750
12127,"Volusia County, Florida",B06011_001,27849,569
12129,"Wakulla County, Florida",B06011_001,33876,1910
12131,"Walton County, Florida",B06011_001,31042,1045
12133,"Washington County, Florida",B06011_001,22392,1425
13001,"Appling County, Georgia",B06011_001,22300,1873
13003,"Atkinson County, Georgia",B06011_001,23459,1940
13005,"Bacon County, Georgia",B06011_001,24068,2541
13007,"Baker County, Georgia",B06011_001,21600,2823
13009,"Baldwin County, Georgia",B06011_001,23269,2256
13011,"Banks County, Georgia",B06011_001,24423,2360
13013,"Barrow County, Georgia",B06011_001,30322,955
13015,"Bartow County, Georgia",B06011_001,30782,909
13017,"Ben Hill County, Georgia",B06011_001,19507,2448
13019,"Berrien County, Georgia",B06011_001,24660,1765
13021,"Bibb County, Georgia",B06011_001,24768,776
13023,"Bleckley County, Georgia",B06011_001,22161,1374
13025,"Brantley County, Georgia",B06011_001,20101,2433
13027,"Brooks County, Georgia",B06011_001,25582,1457
13029,"Bryan County, Georgia",B06011_001,37796,2976
13031,"Bulloch County, Georgia",B06011_001,22941,1460
13033,"Burke County, Georgia",B06011_001,26418,2265
13035,"Butts County, Georgia",B06011_001,24906,2669
13037,"Calhoun County, Georgia",B06011_001,20071,2704
13039,"Camden County, Georgia",B06011_001,30164,1521
13043,"Candler County, Georgia",B06011_001,20076,2522
13045,"Carroll County, Georgia",B06011_001,26797,918
13047,"Catoosa County, Georgia",B06011_001,28320,1655
13049,"Charlton County, Georgia",B06011_001,21664,1857
13051,"Chatham County, Georgia",B06011_001,30121,650
13053,"Chattahoochee County, Georgia",B06011_001,25017,1120
