name,geog,lung_cancer_rate_per100k
"Iron County, Wisconsin",55051,86.3
"Wayne County, Missouri",29223,86.2
"Dallas County, Arkansas",05039,86.2
"Itawamba County, Mississippi",28057,86.1
"Montgomery County, Illinois",17135,86.1
"Anderson County, Kentucky",21005,86
"DeKalb County, Tennessee",47041,86
"Henry County, Missouri",29083,85.9
"McCurtain County, Oklahoma",40089,85.9
"Morgan County, Illinois",17137,85.8
"Cocke County, Tennessee",47029,85.8
"Miller County, Georgia",13201,85.6
"Franklin County, Illinois",17055,85.5
"Perry County, Ohio",39127,85.5
"Iron County, Missouri",29093,85.5
"Latimer County, Oklahoma",40077,85.4
"Crawford County, Ohio",39033,85.4
"Randolph County, Missouri",29175,85.4
"Clarke County, Iowa",19039,85.4
"Macon County, Missouri",29121,85.3
"Swain County, North Carolina",37173,85.2
"Daviess County, Kentucky",21059,85.1
"Richmond County, North Carolina",37153,85.1
"Henry County, Kentucky",21103,85
"Mason County, Kentucky",21161,84.9
"Jefferson County, Arkansas",05069,84.8
"Marlboro County, South Carolina",45069,84.8
"Love County, Oklahoma",40085,84.8
"Yalobusha County, Mississippi",28161,84.7
"Monroe County, Missouri",29137,84.6
"Washington County, Maine",23029,84.6
"Henderson County, Tennessee",47077,84.5
"Clinton County, Ohio",39027,84.5
"Bradley County, Arkansas",05011,84.5
"Adair County, Oklahoma",40001,84.5
"Gordon County, Georgia",13129,84.5
"Clay County, Alabama",01027,84.4
"Magoffin County, Kentucky",21153,84.4
"Tyler County, West Virginia",54095,84.4
"Jefferson County, Georgia",13163,84.3
"Conway County, Arkansas",05029,84.2
"Desha County, Arkansas",05041,84.2
"Schoolcraft County, Michigan",26153,84
"Warren County, Tennessee",47177,83.9
"Charlton County, Georgia",13049,83.9
"Ohio County, Kentucky",21183,83.8
"Marion County, Mississippi",28091,83.8
"Perry County, Tennessee",47135,83.6
"Miller County, Arkansas",05091,83.6
"Palo Alto County, Iowa",19147,83.6
"Oscoda County, Michigan",26135,83.6
"Morgan County, West Virginia",54065,83.6
"Dickson County, Tennessee",47043,83.6
"Marion County, Missouri",29127,83.6
"Wapello County, Iowa",19179,83.5
"Worth County, Georgia",13321,83.4
"Chattahoochee County, Georgia",13053,83.4
"Perry County, Mississippi",28111,83.4
"Lee County, Georgia",13177,83.4
"Haralson County, Georgia",13143,83.4
"Cortland County, New York",36023,83.3
"Chester County, South Carolina",45023,83.3
"Hopkins County, Kentucky",21107,83.3
"Taylor County, Florida",12123,83.3
"Franklin County, Missouri",29071,83.2
"Shoshone County, Idaho",16079,83.2
"Penobscot County, Maine",23019,83.2
"Yukon-Koyukuk Census Area, Alaska",02290,83.2
"Brown County, Illinois",17009,83.1
"Covington County, Mississippi",28031,83.1
"Panola County, Mississippi",28107,83.1
"Lyman County, South Dakota",46085,83
"Preble County, Ohio",39135,83
"Wayne County, Kentucky",21231,82.9
"Madison County, Georgia",13195,82.9
"Gilchrist County, Florida",12041,82.9
"Lincoln County, Arkansas",05079,82.8
"Clark County, Kentucky",21049,82.8
"Robertson County, Tennessee",47147,82.7
"Elbert County, Georgia",13105,82.7
"Walker County, Alabama",01127,82.6
"Nelson County, Kentucky",21179,82.6
"Haskell County, Oklahoma",40061,82.6
"Stewart County, Tennessee",47161,82.6
"Obion County, Tennessee",47131,82.5
"Glascock County, Georgia",13125,82.5
"Grundy County, Tennessee",47061,82.5
"Carter County, Missouri",29035,82.4
"Chicot County, Arkansas",05017,82.4
"Menifee County, Kentucky",21165,82.3
"Greene County, Illinois",17061,82.3
"Pickaway County, Ohio",39129,82.3
"Pleasants County, West Virginia",54073,82.3
"Chester County, Tennessee",47023,82.3
"Surry County, North Carolina",37171,82.2
"Fayette County, Ohio",39047,82.2
"Kenton County, Kentucky",21117,82.2
"Lauderdale County, Tennessee",47097,82.1
